corresponding_gene_call	nS_gene_popular_consensus	nN_gene_popular_consensus
22282	384.66666666666225	1607.3333333333378
22283	83.66666666666656	315.3333333333334
22284	89.33333333333314	354.66666666666686
22285	802.0000000000213	3040.9999999999786
22286	839.3333333333588	3285.666666666641
22287	349.99999999999756	1603.0000000000025
22288	97.99999999999969	472.00000000000034
22289	87.33333333333317	407.66666666666686
22290	53.0000000000001	246.9999999999999
22291	207.0000000000015	833.9999999999985
22292	590.9999999999973	2382.0000000000027
22293	169.6666666666671	709.3333333333329
22294	197.6666666666679	834.3333333333321
22295	113.99999999999946	486.00000000000057
22296	189.66666666666768	842.3333333333323
22297	162.6666666666669	722.333333333333
22298	69.66666666666676	296.33333333333326
51997	290.00000000000097	1311.999999999999
51998	176.6666666666673	789.3333333333327
51999	135.3333333333328	512.6666666666672
52000	20.66666666666666	102.33333333333334
52001	446.6666666666587	1878.3333333333412
52002	189.000000000001	830.999999999999
52003	78.99999999999996	359.00000000000006
52004	38.33333333333333	159.66666666666669
52005	210.0000000000016	800.9999999999984
52006	46.66666666666672	199.3333333333333
52007	36.333333333333314	149.66666666666669
52008	176.33333333333397	786.6666666666661
52009	221.33333333333525	954.6666666666647
52010	158.6666666666668	588.3333333333333
52011	67.66666666666679	283.3333333333332
52012	392.9999999999951	1449.000000000005
52013	306.6666666666667	1268.3333333333333
52014	121.99999999999935	496.0000000000007
52015	58.33333333333347	244.66666666666652
52016	373.9999999999962	1390.0000000000039
52017	601.9999999999985	2239.0000000000014
52018	60.333333333333485	260.6666666666665
52019	76.99999999999999	364.0
52020	76.0	326.0
71429	32.99999999999996	150.00000000000006
71430	507.9999999999886	2168.0000000000114
71431	166.66666666666703	670.333333333333
71432	220.00000000000188	898.9999999999982
71433	255.3333333333362	929.6666666666638
71434	134.99999999999946	588.0000000000006
71435	157.33333333333343	631.6666666666665
71436	147.33333333333314	635.6666666666669
71437	109.33333333333286	451.66666666666714
71438	66.33333333333347	236.66666666666652
74891	80.6666666666666	336.33333333333337
74892	152.66666666666663	672.3333333333334
74893	246.00000000000261	926.9999999999974
74894	262.3333333333359	928.6666666666641
74895	74.33333333333336	294.66666666666663
74896	140.6666666666663	558.3333333333337
74897	94.33333333333307	370.6666666666669
74898	196.66666666666788	919.3333333333321
74899	217.66666666666848	976.3333333333316
74900	54.33333333333344	200.66666666666657
87484	27.666666666666636	107.33333333333337
87485	851.6666666666936	3834.3333333333067
113732	154.66666666666669	577.3333333333333
113733	91.66666666666644	352.33333333333354
113734	317.66666666666606	1065.333333333334
113735	128.9999999999993	513.0000000000007
113736	149.66666666666654	609.3333333333335
113738	22.33333333333332	91.66666666666669
113739	78.3333333333333	296.6666666666667
113740	84.99999999999987	284.0000000000001
113741	202.66666666666805	778.3333333333319
113742	77.33333333333331	282.6666666666667
129051	322.6666666666658	1213.3333333333342
129052	375.9999999999961	1421.0000000000039
129053	405.9999999999944	1571.0000000000057
129054	198.3333333333346	905.6666666666654
129055	147.6666666666665	632.3333333333335
